pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
1017.9671415301124,27.881201589886484,25.596180896230834,22.538395183689595,18.920384584860273,52.498688658530476,7,9.061518667931102,54,3.5590996073722514,0
1011.6173569882882,27.73292945808073,26.320852680311905,23.042885326231865,20.91370277995945,52.06810664059192,7,5.479917627940846,316,12.606210771074439,0
1019.4768853810069,21.021784136849924,19.734553955068048,18.659655099890486,19.55292519743402,80.96574471855826,8,9.279036446605993,1,10.441458574302619,0
1028.2302985640802,28.349549041492814,26.97244512989707,23.127536004015063,25.033533548299484,89.54901500526188,5,2.4982299097634493,241,6.836936452892274,0
1010.6584662527666,33.66414540910873,30.332667964340555,26.483090756528604,23.983900147289354,82.95199648385552,6,7.197590945313523,257,0.44107615770679065,1
1010.6586304305082,23.628839404616024,22.422190701300064,20.96031160058851,19.60443513587251,78.74366894803073,6,6.395979382699926,331,3.9930655565082467,0
1028.792128155074,35.24241325525296,32.89470575539681,29.613747985613603,27.961955534150313,94.98710630907183,4,6.882564264128911,9,10.933462396886457,0
1020.6743472915291,32.43887410542169,28.426075297764772,25.152630568021674,24.206330373863015,43.503542825457814,6,8.661545039357453,75,7.685808526425344,0
1008.3052561406505,26.328833390144812,24.1514407240833,20.4216390433217,18.522169457874003,50.048985158574446,8,11.397625094976926,257,6.53298741723675,0
1018.4256004358597,29.292351813310763,25.239119504590242,23.897528736049917,20.66893174452889,64.86441134023192,3,3.1681412153637267,120,4.705191011698616,0
1008.3658230718754,37.99160903820517,34.00974088537695,30.503727656312563,31.24327101287169,62.34709861023207,1,9.096609304399557,320,9.10397745865536,0
1008.3427024642974,33.66773906752933,31.684430536996466,29.561422734011103,30.106982157819907,65.08309617778134,7,7.741691625726546,214,14.495780780575338,1
1015.4196227156604,30.04391827449074,26.128629554119758,23.10061759213507,25.116755827812476,52.38729430256236,6,8.341740809115956,244,13.51685464946259,0
993.867197553422,28.811583415195077,24.820476862106673,20.727182651290367,17.139643743871133,48.9701989348137,5,5.14703598012048,336,0.4574690712642304,0
995.7508216748697,30.383045352258296,27.793229649590188,23.970645904138134,26.23035767190607,70.55159484747568,6,11.334943155160717,179,7.214307338751686,0
1007.3771247075903,27.44118221028848,25.59950027532241,24.123888204610434,20.77387949922147,95.68315144412762,2,5.7558749998511605,340,4.9420394707042155,0
1002.8716887966558,19.476252471404926,16.39116924383745,13.026430095373156,11.600987525617159,63.518167740995025,5,1.4591014727894382,299,7.659069935097015,0
1016.1424733259528,40.210889552673656,35.52529920067287,30.648833076909916,34.551911102680016,42.60119284717169,9,8.168315766619067,289,9.09320534807572,1
1003.9197592447879,30.776624995997008,27.21815806626876,25.59108031692875,23.603111017995463,82.37004057337147,6,1.546429365150261,72,3.000421019963202,0
998.8769629866471,31.990736325612687,30.299046335103643,25.88741798420198,22.742106728142343,57.46629433163049,6,3.872100014571951,208,11.723521043223844,0
